Id,Id2,Geography,Estimate; HOUSING TENURE - Occupied housing units,Estimate; HOUSING TENURE - Occupied housing units - Owner-occupied,Percent; HOUSING TENURE - Occupied housing units - Owner-occupied,Estimate; HOUSING TENURE - Occupied housing units - Renter-occupied,Percent; HOUSING TENURE - Occupied housing units - Renter-occupied,Estimate; HOUSING TENURE - Average household size of owner-occupied unit,Percent; HOUSING TENURE - Average household size of owner-occupied unit,Estimate; HOUSING TENURE - Average household size of renter-occupied unit,Percent; HOUSING TENURE - Average household size of renter-occupied unit,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 to 2014,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 to 2014,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage - Median (dollars),Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage - Median (dollars),Estimate; GROSS RENT - Occupied units paying rent,Estimate; GROSS RENT - Occupied units paying rent - Median (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)
1400000US34005700102,34005700102,"Census Tract 7001.02, Burlington County, New Jersey",1019,822,80.7,197,19.3,2.66,(X),2.73,(X),1019,1019,55,5.4,252,24.7,309,30.3,112,11,157,15.4,134,13.2,594,1888,228,907,188,1361,81891
1400000US34005700103,34005700103,"Census Tract 7001.03, Burlington County, New Jersey",1300,906,69.7,394,30.3,2.05,(X),2.15,(X),1300,1300,161,12.4,276,21.2,525,40.4,201,15.5,114,8.8,23,1.8,638,1565,268,776,384,1383,65556
1400000US34005700104,34005700104,"Census Tract 7001.04, Burlington County, New Jersey",668,364,54.5,304,45.5,2.91,(X),2.66,(X),668,668,83,12.4,234,35,155,23.2,73,10.9,27,4,96,14.4,263,1866,101,694,297,1024,47384
1400000US34005700200,34005700200,"Census Tract 7002, Burlington County, New Jersey",997,822,82.4,175,17.6,2.76,(X),2.28,(X),997,997,88,8.8,166,16.6,304,30.5,214,21.5,80,8,145,14.5,613,2257,209,1022,154,1125,95288
1400000US34005700303,34005700303,"Census Tract 7003.03, Burlington County, New Jersey",1320,918,69.5,402,30.5,2.8,(X),2.2,(X),1320,1320,106,8,589,44.6,250,18.9,177,13.4,66,5,132,10,586,2244,332,970,395,1508,90294
1400000US34005700304,34005700304,"Census Tract 7003.04, Burlington County, New Jersey",850,795,93.5,55,6.5,2.99,(X),2.25,(X),850,850,12,1.4,138,16.2,272,32,153,18,83,9.8,192,22.6,519,1873,276,889,55,1411,75577
1400000US34005700305,34005700305,"Census Tract 7003.05, Burlington County, New Jersey",1748,1663,95.1,85,4.9,3.01,(X),2.24,(X),1748,1748,46,2.6,322,18.4,497,28.4,399,22.8,261,14.9,223,12.8,1019,2442,644,1019,80,1742,95500
1400000US34005700306,34005700306,"Census Tract 7003.06, Burlington County, New Jersey",824,786,95.4,38,4.6,2.93,(X),4.82,(X),824,824,21,2.5,101,12.3,259,31.4,171,20.8,100,12.1,172,20.9,531,2129,255,922,38,2025,111000
1400000US34005700307,34005700307,"Census Tract 7003.07, Burlington County, New Jersey",922,879,95.3,43,4.7,2.97,(X),2.79,(X),922,922,36,3.9,104,11.3,395,42.8,162,17.6,74,8,151,16.4,632,2464,247,1104,29,-,125714
1400000US34005700401,34005700401,"Census Tract 7004.01, Burlington County, New Jersey",749,634,84.6,115,15.4,2.79,(X),2.03,(X),749,749,22,2.9,186,24.8,161,21.5,181,24.2,63,8.4,136,18.2,460,1876,174,804,109,1085,65703
1400000US34005700402,34005700402,"Census Tract 7004.02, Burlington County, New Jersey",1214,1122,92.4,92,7.6,2.53,(X),2.07,(X),1214,1214,32,2.6,178,14.7,381,31.4,302,24.9,114,9.4,207,17.1,774,1787,348,709,59,1165,73235
1400000US34005700403,34005700403,"Census Tract 7004.03, Burlington County, New Jersey",1692,1162,68.7,530,31.3,2.9,(X),2.02,(X),1692,1692,130,7.7,515,30.4,437,25.8,233,13.8,145,8.6,232,13.7,782,1725,380,792,513,957,61842
1400000US34005700405,34005700405,"Census Tract 7004.05, Burlington County, New Jersey",645,535,82.9,110,17.1,2.92,(X),2.68,(X),645,645,42,6.5,78,12.1,215,33.3,107,16.6,75,11.6,128,19.8,342,1772,193,720,110,1194,83750
1400000US34005700407,34005700407,"Census Tract 7004.07, Burlington County, New Jersey",2745,303,11,2442,89,1.58,(X),1.99,(X),2745,2745,409,14.9,1621,59.1,476,17.3,180,6.6,30,1.1,29,1.1,173,1318,130,656,2410,1153,43830
1400000US34005700408,34005700408,"Census Tract 7004.08, Burlington County, New Jersey",1175,170,14.5,1005,85.5,1.65,(X),1.7,(X),1175,1175,255,21.7,544,46.3,281,23.9,39,3.3,42,3.6,14,1.2,142,1730,28,700,999,1193,61424
1400000US34005700501,34005700501,"Census Tract 7005.01, Burlington County, New Jersey",2138,1581,73.9,557,26.1,2.71,(X),2.08,(X),2138,2138,161,7.5,346,16.2,633,29.6,464,21.7,196,9.2,338,15.8,1049,2363,532,953,542,1216,102873
1400000US34005700502,34005700502,"Census Tract 7005.02, Burlington County, New Jersey",730,647,88.6,83,11.4,3.12,(X),2.22,(X),730,730,64,8.8,78,10.7,227,31.1,153,21,54,7.4,154,21.1,422,2806,225,1066,62,1526,104000
1400000US34005700503,34005700503,"Census Tract 7005.03, Burlington County, New Jersey",1325,1229,92.8,96,7.2,2.92,(X),1.45,(X),1325,1325,51,3.8,229,17.3,449,33.9,289,21.8,99,7.5,208,15.7,752,3315,477,"1,500+",96,-,155313
1400000US34005700504,34005700504,"Census Tract 7005.04, Burlington County, New Jersey",1052,805,76.5,247,23.5,2.76,(X),2.74,(X),1052,1052,71,6.7,328,31.2,197,18.7,249,23.7,74,7,133,12.6,518,2521,287,1079,247,1295,126417
1400000US34005700505,34005700505,"Census Tract 7005.05, Burlington County, New Jersey",1931,1802,93.3,129,6.7,3.16,(X),1.95,(X),1931,1931,86,4.5,317,16.4,862,44.6,535,27.7,82,4.2,49,2.5,1062,"4,000+",740,"1,500+",84,856,196926
