County,Id2,Geography,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage - Median (dollars),Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage - Median (dollars),SMOC for housing units with and without a mortgage,Estimate; GROSS RENT - Occupied units paying rent,Estimate; GROSS RENT - Occupied units paying rent - Median (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)
Burlington,34005700102,"Census Tract 7001.02, Burlington County, New Jersey",5.4,13.2,594,1888,228,907,1616,188,1361,81891
Burlington,34005700103,"Census Tract 7001.03, Burlington County, New Jersey",12.4,1.8,638,1565,268,776,1332,384,1383,65556
Burlington,34005700104,"Census Tract 7001.04, Burlington County, New Jersey",12.4,14.4,263,1866,101,694,1541,297,1024,47384
Burlington,34005700200,"Census Tract 7002, Burlington County, New Jersey",8.8,14.5,613,2257,209,1022,1943,154,1125,95288
Burlington,34005700303,"Census Tract 7003.03, Burlington County, New Jersey",8,10,586,2244,332,970,1783,395,1508,90294
Burlington,34005700304,"Census Tract 7003.04, Burlington County, New Jersey",1.4,22.6,519,1873,276,889,1531,55,1411,75577
Burlington,34005700305,"Census Tract 7003.05, Burlington County, New Jersey",2.6,12.8,1019,2442,644,1019,1891,80,1742,95500
Burlington,34005700306,"Census Tract 7003.06, Burlington County, New Jersey",2.5,20.9,531,2129,255,922,1737,38,2025,111000
Burlington,34005700307,"Census Tract 7003.07, Burlington County, New Jersey",3.9,16.4,632,2464,247,1104,2082,29,0,125714
Burlington,34005700401,"Census Tract 7004.01, Burlington County, New Jersey",2.9,18.2,460,1876,174,804,1582,109,1085,65703
Burlington,34005700402,"Census Tract 7004.02, Burlington County, New Jersey",2.6,17.1,774,1787,348,709,1453,59,1165,73235
Burlington,34005700403,"Census Tract 7004.03, Burlington County, New Jersey",7.7,13.7,782,1725,380,792,1420,513,957,61842
Burlington,34005700405,"Census Tract 7004.05, Burlington County, New Jersey",6.5,19.8,342,1772,193,720,1392,110,1194,83750
Burlington,34005700407,"Census Tract 7004.07, Burlington County, New Jersey",14.9,1.1,173,1318,130,656,1034,2410,1153,43830
Burlington,34005700408,"Census Tract 7004.08, Burlington County, New Jersey",21.7,1.2,142,1730,28,700,1560,999,1193,61424
Burlington,34005700501,"Census Tract 7005.01, Burlington County, New Jersey",7.5,15.8,1049,2363,532,953,1889,542,1216,102873
Burlington,34005700502,"Census Tract 7005.02, Burlington County, New Jersey",8.8,21.1,422,2806,225,1066,2201,62,1526,104000
Burlington,34005700503,"Census Tract 7005.03, Burlington County, New Jersey",3.8,15.7,752,3315,477,1500,2611,96,0,155313
Burlington,34005700504,"Census Tract 7005.04, Burlington County, New Jersey",6.7,12.6,518,2521,287,1079,2007,247,1295,126417
Burlington,34005700505,"Census Tract 7005.05, Burlington County, New Jersey",4.5,2.5,1062,4000,740,1500,2973,84,856,196926
Burlington,34005700602,"Census Tract 7006.02, Burlington County, New Jersey",2.9,11,1448,1981,541,1068,1733,130,1735,101128
Burlington,34005700603,"Census Tract 7006.03, Burlington County, New Jersey",5.7,13.8,828,1931,423,960,1603,872,1077,72819
Burlington,34005700605,"Census Tract 7006.05, Burlington County, New Jersey",4.6,18.4,965,2278,349,1030,1947,266,1397,109722
Burlington,34005700701,"Census Tract 7007.01, Burlington County, New Jersey",6,13.3,540,1780,290,824,1446,415,1273,64348
Burlington,34005700702,"Census Tract 7007.02, Burlington County, New Jersey",8.3,12.6,431,1616,148,756,1396,288,972,62130
Burlington,34005700703,"Census Tract 7007.03, Burlington County, New Jersey",13.2,4.9,354,1758,153,801,1469,314,1210,47731
Burlington,34005700800,"Census Tract 7008, Burlington County, New Jersey",4.2,9.8,1023,1980,391,889,1678,443,1233,79778
Burlington,34005700900,"Census Tract 7009, Burlington County, New Jersey",9.7,10.3,486,1611,173,738,1382,249,959,48583
Burlington,34005701001,"Census Tract 7010.01, Burlington County, New Jersey",6.7,5.8,587,1509,415,796,1214,1156,1230,59125
Burlington,34005701002,"Census Tract 7010.02, Burlington County, New Jersey",8,16.6,627,1857,321,848,1515,326,1140,73981
Burlington,34005701102,"Census Tract 7011.02, Burlington County, New Jersey",4.9,1.5,1370,2294,199,906,2118,316,913,111176
Burlington,34005701103,"Census Tract 7011.03, Burlington County, New Jersey",3.3,9.9,1436,2278,434,878,1953,244,1188,87404
Burlington,34005701104,"Census Tract 7011.04, Burlington County, New Jersey",8.2,11.7,764,2129,311,872,1765,621,1160,74583
Burlington,34005701105,"Census Tract 7011.05, Burlington County, New Jersey",5.2,10.2,1061,2189,449,765,1766,628,991,68621
Burlington,34005701201,"Census Tract 7012.01, Burlington County, New Jersey",6.7,14.7,663,1884,347,758,1497,132,1060,73947
Burlington,34005701203,"Census Tract 7012.03, Burlington County, New Jersey",10,14.4,284,1657,219,676,1230,245,1053,63929
Burlington,34005701204,"Census Tract 7012.04, Burlington County, New Jersey",13.3,2.5,195,1726,112,980,1454,682,858,24071
Burlington,34005701205,"Census Tract 7012.05, Burlington County, New Jersey",12,6.9,419,1848,195,755,1501,323,997,56202
